"File","Type","Severity","Evidence","Lines","SizeBytes"
".claude\worktrees\enterprise-audit\frontend\src\components\Multilingual\MultilingualProvider.jsx","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","146","4601"
".claude\worktrees\enterprise-audit\frontend\src\components\OrganicTraceability\OrganicFarmRegistration.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","234","8455"
".claude\worktrees\enterprise-audit\frontend\src\components\OrganicTraceability\QRCodeScanner.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","189","8141"
".claude\worktrees\enterprise-audit\frontend\src\components\PredictiveAnalytics\DemandForecast.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","170","7351"
".claude\worktrees\enterprise-audit\frontend\src\components\RouteAnalytics.jsx","CONSTANT_RETURN","HIGH","CONSTANT_RETURN","357","9726"
".claude\worktrees\enterprise-audit\frontend\src\components\RouteLoading.jsx","CONSTANT_RETURN","HIGH","CONSTANT_RETURN","206","5391"
".claude\worktrees\enterprise-audit\frontend\src\components\ui\common.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","423","12744"
".claude\worktrees\enterprise-audit\frontend\src\components\ui\Dashboard.jsx","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","378","12182"
".claude\worktrees\enterprise-audit\frontend\src\components\ui\input.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","19","694"
".claude\worktrees\enterprise-audit\frontend\src\components\ui\select.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","87","3565"
".claude\worktrees\enterprise-audit\frontend\src\components\ui\textarea.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","18","618"
".claude\worktrees\enterprise-audit\frontend\src\config\env.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","289","7112"
".claude\worktrees\enterprise-audit\frontend\src\modules\M011\M011Page.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","84","2976"
".claude\worktrees\enterprise-audit\frontend\src\pages\AgriculturalIntelligencePage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","93","4137"
".claude\worktrees\enterprise-audit\frontend\src\pages\AIAgentPage.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","96","4543"
".claude\worktrees\enterprise-audit\frontend\src\pages\AIBackbonePage.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","277","12145"
".claude\worktrees\enterprise-audit\frontend\src\pages\AIBrainPage.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","153","6680"
".claude\worktrees\enterprise-audit\frontend\src\pages\AIDashboard.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","709","30393"
".claude\worktrees\enterprise-audit\frontend\src\pages\AIOperationIntelligencePage.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","137","6358"
".claude\worktrees\enterprise-audit\frontend\src\pages\AISelfHealingPage.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","129","5893"
".claude\worktrees\enterprise-audit\frontend\src\pages\AnimalHealthPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","367","22343"
".claude\worktrees\enterprise-audit\frontend\src\pages\B2BMarketplace.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","511","22019"
".claude\worktrees\enterprise-audit\frontend\src\pages\BulkOrderPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","320","18556"
".claude\worktrees\enterprise-audit\frontend\src\pages\CheckoutPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","289","12831"
".claude\worktrees\enterprise-audit\frontend\src\pages\ClimateAdvisoryPage.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","177","10198"
".claude\worktrees\enterprise-audit\frontend\src\pages\CompliancePage.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","103","4817"
".claude\worktrees\enterprise-audit\frontend\src\pages\CorporateBuyerPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","360","16433"
".claude\worktrees\enterprise-audit\frontend\src\pages\CorridorEconomicsPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","109","5024"
".claude\worktrees\enterprise-audit\frontend\src\pages\CropRegistrationPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","64","2644"
".claude\worktrees\enterprise-audit\frontend\src\pages\DairyManagementPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","346","20359"
".claude\worktrees\enterprise-audit\frontend\src\pages\DefenseFitnessPrepPage.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","146","7427"
".claude\worktrees\enterprise-audit\frontend\src\pages\DietRecipesPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","142","7060"
".claude\worktrees\enterprise-audit\frontend\src\pages\DiscoverPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","193","8791"
".claude\worktrees\enterprise-audit\frontend\src\pages\DynamicPricingPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","230","9599"
".claude\worktrees\enterprise-audit\frontend\src\pages\EcommerceMarketplacePage.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","342","19829"
".claude\worktrees\enterprise-audit\frontend\src\pages\economic\EconomicDashboard.jsx","PLACEHOLDER;THIN_IMPLEMENTATION","HIGH","PLACEHOLDER | THIN_IMPLEMENTATION","11","282"
".claude\worktrees\enterprise-audit\frontend\src\pages\EnterpriseAIPage.jsx","NOT_IMPLEMENTED;NOT_IMPLEMENTED_TEXT","HIGH","NOT_IMPLEMENTED | NOT_IMPLEMENTED_TEXT","74","3756"
".claude\worktrees\enterprise-audit\frontend\src\pages\EnterpriseControlPage.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","751","39706"
".claude\worktrees\enterprise-audit\frontend\src\pages\ERPDashboard.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","483","19711"
".claude\worktrees\enterprise-audit\frontend\src\pages\FarmAdvisorPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","258","12031"
".claude\worktrees\enterprise-audit\frontend\src\pages\FarmCostingPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","216","13060"
".claude\worktrees\enterprise-audit\frontend\src\pages\FarmerFieldPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","337","15277"
".claude\worktrees\enterprise-audit\frontend\src\pages\FarmerHealthWelfarePage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","158","7543"
".claude\worktrees\enterprise-audit\frontend\src\pages\FarmerSellPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","303","11861"
".claude\worktrees\enterprise-audit\frontend\src\pages\FertilizerInventoryPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","275","16694"
".claude\worktrees\enterprise-audit\frontend\src\pages\FormManagementPage.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","307","11154"
".claude\worktrees\enterprise-audit\frontend\src\pages\GoatFarmingPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","341","20419"
".claude\worktrees\enterprise-audit\frontend\src\pages\HarvestPlanPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","285","12574"
".claude\worktrees\enterprise-audit\frontend\src\pages\HomePage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","207","10579"
".claude\worktrees\enterprise-audit\frontend\src\pages\LandManagementPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","309","16162"
".claude\worktrees\enterprise-audit\frontend\src\pages\LandRegistryPage.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","283","15940"
".claude\worktrees\enterprise-audit\frontend\src\pages\LandUseCarbonPage.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","176","8918"
".claude\worktrees\enterprise-audit\frontend\src\pages\LoginPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","142","5868"
".claude\worktrees\enterprise-audit\frontend\src\pages\LogisticsEnhancementPage.jsx","PLACEHOLDER;NOT_IMPLEMENTED","HIGH","PLACEHOLDER | NOT_IMPLEMENTED","90","8220"
".claude\worktrees\enterprise-audit\frontend\src\pages\LogisticsPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","105","4573"
".claude\worktrees\enterprise-audit\frontend\src\pages\LogisticsProviderPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","457","21053"
".claude\worktrees\enterprise-audit\frontend\src\pages\MarketingCenter.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","616","27019"
".claude\worktrees\enterprise-audit\frontend\src\pages\MarketplacePage.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","352","15015"
".claude\worktrees\enterprise-audit\frontend\src\pages\MarketSignalsPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","126","5452"
".claude\worktrees\enterprise-audit\frontend\src\pages\ModuleHubPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","198","10498"
".claude\worktrees\enterprise-audit\frontend\src\pages\NervousSystemPage.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","106","7660"
".claude\worktrees\enterprise-audit\frontend\src\pages\NurseryManagementPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","66","2753"
".claude\worktrees\enterprise-audit\frontend\src\pages\NutrientCalculatorPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","247","11252"
".claude\worktrees\enterprise-audit\frontend\src\pages\NutrientValueMarketplace.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","549","23309"
".claude\worktrees\enterprise-audit\frontend\src\pages\OperationsManagementPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","391","19732"
".claude\worktrees\enterprise-audit\frontend\src\pages\PigFarmingPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","344","20726"
".claude\worktrees\enterprise-audit\frontend\src\pages\PlatformManagementPage.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","334","13585"
".claude\worktrees\enterprise-audit\frontend\src\pages\PlatformStatusIndexPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","160","6834"
".claude\worktrees\enterprise-audit\frontend\src\pages\PoultryManagementPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","306","18165"
".claude\worktrees\enterprise-audit\frontend\src\pages\PreOrderPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","276","12016"
".claude\worktrees\enterprise-audit\frontend\src\pages\PriceBuildPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","281","12324"
".claude\worktrees\enterprise-audit\frontend\src\pages\PriceCheckPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","215","9712"
".claude\worktrees\enterprise-audit\frontend\src\pages\RegisterPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","216","8500"
".claude\worktrees\enterprise-audit\frontend\src\pages\SeedVaultPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","468","21237"
".claude\worktrees\enterprise-audit\frontend\src\pages\SellerProductFormPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","232","10166"
".claude\worktrees\enterprise-audit\frontend\src\pages\SharedInfraPage.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","228","10649"
".claude\worktrees\enterprise-audit\frontend\src\pages\SheepFarmingPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","347","21193"
".claude\worktrees\enterprise-audit\frontend\src\pages\ShgManagementPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","246","14198"
".claude\worktrees\enterprise-audit\frontend\src\pages\SoilManagementPage.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","295","14455"
".claude\worktrees\enterprise-audit\frontend\src\pages\SowingManagementPage.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","297","16391"
".claude\worktrees\enterprise-audit\frontend\src\pages\SubsidyManagementPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","387","20840"
".claude\worktrees\enterprise-audit\frontend\src\pages\TrackOrderPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","204","8205"
".claude\worktrees\enterprise-audit\frontend\src\pages\TractorManagementPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","356","20819"
".claude\worktrees\enterprise-audit\frontend\src\pages\VarietyDirectoryPage.jsx","PLACEHOLDER;CONSTANT_RETURN","HIGH","PLACEHOLDER | CONSTANT_RETURN","180","8270"
".claude\worktrees\enterprise-audit\frontend\src\pages\WalletPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","212","8509"
".claude\worktrees\enterprise-audit\frontend\src\pages\WaterManagementPage.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","327","14343"
".claude\worktrees\enterprise-audit\frontend\src\pages\WhatGrowPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","292","14159"
".claude\worktrees\enterprise-audit\frontend\src\pages\YieldManagementPage.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","204","9951"
".claude\worktrees\enterprise-audit\frontend\src\services\api.js","NOT_IMPLEMENTED;NOT_IMPLEMENTED_TEXT;EMPTY_BLOCK","HIGH","NOT_IMPLEMENTED | NOT_IMPLEMENTED_TEXT | EMPTY_BLOCK","3710","213520"
".claude\worktrees\enterprise-audit\frontend\src\services\offlineQueue.js","CONSTANT_RETURN","HIGH","CONSTANT_RETURN","137","3497"
".claude\worktrees\enterprise-audit\frontend\src\utils\accessibility.js","CONSTANT_RETURN","HIGH","CONSTANT_RETURN","544","12709"
".claude\worktrees\enterprise-audit\frontend\src\utils\analytics.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","482","9716"
".claude\worktrees\enterprise-audit\frontend\src\utils\cache.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","645","13419"
".claude\worktrees\enterprise-audit\frontend\src\utils\i18n.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","550","13360"
".claude\worktrees\enterprise-audit\frontend\src\utils\monitoring.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","433","10310"
".claude\worktrees\enterprise-audit\frontend\src\utils\pushNotifications.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","223","6782"
".claude\worktrees\enterprise-audit\frontend\src\utils\routePreloader.js","CONSTANT_RETURN","HIGH","CONSTANT_RETURN","337","8556"
".claude\worktrees\enterprise-audit\frontend\src\utils\security.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","449","8904"
".claude\worktrees\enterprise-audit\frontend\src\utils\validation.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","522","12908"
".claude\worktrees\enterprise-audit\modules\M001_PLATFORM_CORE\backend\service.js","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","623","20101"
".claude\worktrees\enterprise-audit\modules\M100100_LOGISTICSENHANCEMENT\frontend\pages\LogisticsProviderPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","456","20845"
".claude\worktrees\enterprise-audit\modules\M102_DAIRY_MANAGEMENT\frontend\pages\DairyManagementPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","291","16548"
".claude\worktrees\enterprise-audit\modules\M104_SOIL_MANAGEMENT\frontend\pages\SoilManagementPage.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","295","14418"
".claude\worktrees\enterprise-audit\modules\M108_FERTILIZER_MANAGEMENT\frontend\pages\FertilizerInventoryPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","262","15527"
".claude\worktrees\enterprise-audit\modules\M109_SEED_MANAGEMENT\frontend\pages\SeedVaultPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","467","21012"
".claude\worktrees\enterprise-audit\modules\M18100_POULTRY\frontend\pages\PoultryManagementPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","240","14381"
".claude\worktrees\enterprise-audit\modules\M200_ORGANIZATION_MANAGEMENT\frontend\pages\PlatformManagementPage.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","334","13585"
".claude\worktrees\enterprise-audit\modules\M300_ERP_CORE\frontend\pages\ERPDashboard.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","483","19711"
".claude\worktrees\enterprise-audit\modules\M386100_SUBSIDY\frontend\pages\SubsidyManagementPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","366","18987"
".claude\worktrees\enterprise-audit\modules\M400_AI_CORE\frontend\pages\AIBackbonePage.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","277","12145"
".claude\worktrees\enterprise-audit\modules\M401_AI_GATEWAY\frontend\pages\AIDashboard.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","709","30393"
".claude\worktrees\enterprise-audit\modules\M403_AGRICULTURAL_AI\frontend\pages\ClimateAdvisoryPage.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","168","9103"
".claude\worktrees\enterprise-audit\modules\M407_CONVERSATIONAL_AI\frontend\pages\FarmAdvisorPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","258","12031"
".claude\worktrees\enterprise-audit\modules\M445100_VILLAGEPROFILE\frontend\pages\VillageRegistryPage.jsx","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","209","12084"
".claude\worktrees\enterprise-audit\modules\M499100_SHEEP\frontend\pages\SheepFarmingPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","286","17862"
".claude\worktrees\enterprise-audit\modules\M615100_LOGISTICS\frontend\pages\LogisticsPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","105","4573"
".claude\worktrees\enterprise-audit\modules\M645100_LIBRARYKNOWLEDGE\backend\service.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","504","15963"
".claude\worktrees\enterprise-audit\modules\M645100_LIBRARYKNOWLEDGE\frontend\index.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","140","3939"
".claude\worktrees\enterprise-audit\modules\M74100_OPERATIONSMANAGEMENT\frontend\pages\OperationsManagementPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","391","19689"
".claude\worktrees\enterprise-audit\modules\M82100_GOAT\frontend\pages\GoatFarmingPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","280","17088"
".claude\worktrees\enterprise-audit\modules\M858100_PIG\frontend\pages\PigFarmingPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","285","17615"
".claude\worktrees\enterprise-audit\modules\M87100_ANIMALHEALTH\frontend\pages\AnimalHealthPage.jsx","PLACEHOLDER","HIGH","PLACEHOLDER","350","21392"
".claude\worktrees\enterprise-audit\modules\MIGRATION_SYSTEM\frontend-migration-script.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","364","11727"
".claude\worktrees\enterprise-audit\modules\MIGRATION_SYSTEM\migration-script.js","CONSTANT_RETURN","HIGH","CONSTANT_RETURN","305","10236"
".claude\worktrees\enterprise-audit\modules\MIGRATION_SYSTEM\route-integration-script.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","509","15614"
".claude\worktrees\enterprise-audit\modules\TEMPLATES\MODULE_TEMPLATE\ai\decisions.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","228","5944"
".claude\worktrees\enterprise-audit\modules\TEMPLATES\MODULE_TEMPLATE\backend\service.js","NOT_IMPLEMENTED;NOT_IMPLEMENTED_TEXT;IMPLEMENTATION_ERROR_STUB;EMPTY_BLOCK","HIGH","NOT_IMPLEMENTED | NOT_IMPLEMENTED_TEXT | IMPLEMENTATION_ERROR_STUB | EMPTY_BLOCK","443","11188"
".claude\worktrees\enterprise-audit\modules\UIP_SYSTEM\uip-core.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","535","13963"
".claude\worktrees\enterprise-audit\tools\build-status-page.js","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","378","17330"
".claude\worktrees\enterprise-audit\tools\find-hidden-modules.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","284","11923"
".claude\worktrees\enterprise-audit\tools\wireframe-boundaries.js","TODO;FIXME;NOT_IMPLEMENTED;NOT_IMPLEMENTED_TEXT;EMPTY_BLOCK","HIGH","TODO | FIXME | NOT_IMPLEMENTED | NOT_IMPLEMENTED_TEXT | EMPTY_BLOCK","370","19552"
".claude\worktrees\intelligent-sutherland-9f1488\backend\scripts\analyzeWiring.js","CONSTANT_RETURN","HIGH","CONSTANT_RETURN","32","1633"
".claude\worktrees\intelligent-sutherland-9f1488\backend\scripts\generate-openapi.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","145","5874"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\cache\redis.js","CONSTANT_RETURN","HIGH","CONSTANT_RETURN","270","6175"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\core\ai\aiOrchestratorCore.js","PLACEHOLDER;CONSTANT_RETURN;EMPTY_BLOCK","HIGH","PLACEHOLDER | CONSTANT_RETURN | EMPTY_BLOCK","358","12997"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\core\businessCell.js","PLACEHOLDER;CONSTANT_RETURN;EMPTY_BLOCK","HIGH","PLACEHOLDER | CONSTANT_RETURN | EMPTY_BLOCK","330","17320"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\core\claudeAICoordinator.js","CONSTANT_RETURN","HIGH","CONSTANT_RETURN","393","12351"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\core\decisionEngine.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","360","14909"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\core\erpAgents.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","1103","47402"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\core\moduleRegistry.js","NOT_IMPLEMENTED;NOT_IMPLEMENTED_TEXT;EMPTY_BLOCK","HIGH","NOT_IMPLEMENTED | NOT_IMPLEMENTED_TEXT | EMPTY_BLOCK","476","14904"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\core\nervousSystem.js","CONSTANT_RETURN","HIGH","CONSTANT_RETURN","1033","31925"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\core\outcomeSink.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","198","7460"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\core\signalBus.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","240","8397"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\database\advanced_pool.js","PLACEHOLDER;CONSTANT_RETURN;EMPTY_BLOCK","HIGH","PLACEHOLDER | CONSTANT_RETURN | EMPTY_BLOCK","501","13927"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\database\cache\redis_cache.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","482","11542"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\database\connection.js","CONSTANT_RETURN","HIGH","CONSTANT_RETURN","223","6665"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\database\migrations\016_advanced_ponds_iot.sql","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","221","9941"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\database\migrations\035_multilingual_schema.sql","PLACEHOLDER","HIGH","PLACEHOLDER","317","14210"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\database\migrations\036_nutrition_intelligence_schema.sql","PLACEHOLDER","HIGH","PLACEHOLDER","336","14690"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\database\migrations\060_experience_layer_dxp.sql","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","426","19771"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\database\migrations\067_poultry_management_schema.sql","PLACEHOLDER","HIGH","PLACEHOLDER","93","4187"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\database\migrations\068_goat_farming_schema.sql","PLACEHOLDER","HIGH","PLACEHOLDER","96","4230"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\database\migrations\069_sheep_farming_schema.sql","PLACEHOLDER","HIGH","PLACEHOLDER","101","4390"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\database\migrations\070_pig_farming_schema.sql","PLACEHOLDER","HIGH","PLACEHOLDER","96","4193"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\database\migrations\3106_fpo_member_shares_schema.sql","NOT_IMPLEMENTED;NOT_IMPLEMENTED_TEXT","HIGH","NOT_IMPLEMENTED | NOT_IMPLEMENTED_TEXT","104","6582"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\database\migrations\9997_geofencing.sql","PLACEHOLDER","HIGH","PLACEHOLDER","70","4315"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\database\migrations\9999_erp_foundation_seed.sql","PLACEHOLDER","HIGH","PLACEHOLDER","127","7293"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\database\migrations\enhanced_migrate.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","560","17419"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\database\monitoring\database_monitor.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","750","20895"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\database\multilingual_schema.sql","PLACEHOLDER","HIGH","PLACEHOLDER","309","13408"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\database\nutrition_intelligence_schema.sql","PLACEHOLDER","HIGH","PLACEHOLDER","312","12889"
